istaigos_kodas;gydytojo_ID;laisvos_registracijos_data;iraso_sukurimo_data
303238821;1095457;2021-03-31 14:20;2021-03-30 03:00
303238821;1095457;2021-03-31 14:40;2021-03-30 03:00
303238821;1095457;2021-03-31 15:00;2021-03-30 03:00
303238821;1095457;2021-03-31 15:20;2021-03-30 03:00
303238821;1095457;2021-03-31 15:40;2021-03-30 03:00
303238821;1095457;2021-03-31 16:00;2021-03-30 03:00
303238821;1095457;2021-03-31 16:20;2021-03-30 03:00
303238821;1095457;2021-03-31 16:40;2021-03-30 03:00
303238821;1095457;2021-03-31 17:20;2021-03-30 03:00
303238821;1095457;2021-03-31 17:40;2021-03-30 03:00
303238821;1095457;2021-03-31 18:00;2021-03-30 03:00
303238821;1095457;2021-03-31 18:20;2021-03-30 03:00
303238821;1095457;2021-03-31 18:40;2021-03-30 03:00
303238821;1095457;2021-03-31 19:20;2021-03-30 03:00
303238821;1095457;2021-03-31 19:40;2021-03-30 03:00
303238821;1096402;2021-03-31 10:00;2021-03-30 03:00
303238821;1096402;2021-03-31 10:20;2021-03-30 03:00
